item_id,restaurant_id,name,dish_family,cuisine,price,is_veg,is_addon_eligible,popularity_score,avg_rating
I000001,R0001,Chicken Biryani,Biryani,Biryani,215,False,True,0.96,3.6
I000002,R0001,Mutton Biryani,Biryani,Biryani,295,False,True,0.56,4.5
I000003,R0001,Veg Biryani,Biryani,Biryani,335,True,True,0.66,3.5
I000004,R0001,Egg Biryani,Biryani,Biryani,105,False,True,0.53,4.7
I000005,R0001,Prawn Biryani,Biryani,Biryani,170,False,True,0.53,4.7
I000006,R0001,Boondi Raita,Raita,Biryani,130,False,True,0.89,3.9
I000007,R0001,Cucumber Raita,Raita,Biryani,115,False,True,0.38,4.9
I000008,R0001,Mixed Raita,Raita,Biryani,215,False,True,0.48,4.3
I000009,R0001,Mirchi Ka Salan,Salan,Biryani,270,False,True,0.52,4.6
I000010,R0001,Shorba,Salan,Biryani,165,False,True,0.38,4.3
I000011,R0001,Biryani Gravy,Salan,Biryani,140,False,True,0.96,3.5
I000012,R0001,Chicken Shorba,Shorba,Biryani,290,False,True,0.5,4.8
I000013,R0001,Veg Shorba,Shorba,Biryani,115,True,True,0.97,3.7
I000014,R0001,Seekh Kebab,Kebab,Biryani,295,False,True,0.66,4.1
I000015,R0001,Chicken 65,Kebab,Biryani,170,False,True,0.89,3.8
I000016,R0001,Reshmi Kebab,Kebab,Biryani,280,False,True,0.61,5.0
I000017,R0001,Boti Kebab,Kebab,Biryani,255,False,True,0.37,4.1
I000018,R0001,Gulab Jamun (2 pcs),Gulab Jamun,Biryani,115,True,True,0.5,4.0
I000019,R0001,Gulab Jamun (4 pcs),Gulab Jamun,Biryani,315,True,True,0.89,3.5
I000020,R0002,Veg Burger,Burger,Fast Food,105,True,True,0.46,4.0
I000021,R0002,Chicken Burger,Burger,Fast Food,50,False,True,0.82,4.9
I000022,R0002,Zinger Burger,Burger,Fast Food,70,False,True,0.54,3.8
I000023,R0002,Double Patty Burger,Burger,Fast Food,145,False,True,0.31,4.4
I000024,R0002,Regular Fries,Fries,Fast Food,135,False,True,0.43,4.4
I000025,R0002,Cheese Fries,Fries,Fast Food,55,False,True,0.87,3.9
I000026,R0002,Peri Peri Fries,Fries,Fast Food,150,False,True,0.95,4.6
I000027,R0002,Chicken Wrap,Wrap,Fast Food,100,False,True,0.84,3.7
I000028,R0002,Paneer Wrap,Wrap,Fast Food,80,True,True,0.32,4.5
I000029,R0002,Veg Wrap,Wrap,Fast Food,130,True,True,0.96,4.5
I000030,R0002,Chicken Nuggets (6 pcs),Nuggets,Fast Food,125,False,True,0.93,4.9
I000031,R0002,Chicken Nuggets (12 pcs),Nuggets,Fast Food,100,False,True,0.38,4.2
I000032,R0002,Chocolate Milkshake,Milkshake,Fast Food,105,False,True,0.74,5.0
I000033,R0002,Strawberry Milkshake,Milkshake,Fast Food,140,False,True,0.58,3.7
I000034,R0002,Vanilla Milkshake,Milkshake,Fast Food,70,False,True,0.42,4.0
I000035,R0002,Coke (300ml),Soft Drink,Fast Food,140,False,True,0.61,4.4
I000036,R0002,Pepsi (300ml),Soft Drink,Fast Food,70,False,True,0.64,4.8
I000037,R0002,Sprite (300ml),Soft Drink,Fast Food,125,False,True,0.36,4.8
I000038,R0002,Limca,Soft Drink,Fast Food,75,False,True,0.77,3.7
I000039,R0003,Papdi Chaat,Chaat,Street Food,635,False,True,0.32,4.4
I000040,R0003,Aloo Chaat,Chaat,Street Food,625,True,True,0.47,4.9
I000041,R0003,Dahi Puri,Chaat,Street Food,325,False,True,0.92,4.1
I000042,R0003,Pav Bhaji (2 pav),Pav Bhaji,Street Food,655,False,True,0.76,3.8
I000043,R0003,Pav Bhaji (4 pav),Pav Bhaji,Street Food,460,False,True,0.67,4.8
I000044,R0003,Vada Pav,Vada Pav,Street Food,775,False,True,0.31,4.0
I000045,R0003,Cheese Vada Pav,Vada Pav,Street Food,635,False,True,0.67,4.9
I000046,R0003,Pani Puri (6 pcs),Pani Puri,Street Food,310,False,True,0.61,4.5
I000047,R0003,Bhel Puri,Bhel Puri,Street Food,410,False,True,0.81,3.6
I000048,R0003,Samosa (2 pcs),Samosa,Street Food,525,False,True,0.77,3.9
I000049,R0003,Samosa (4 pcs),Samosa,Street Food,335,False,True,0.97,4.9
I000050,R0004,Veg Burger,Burger,Fast Food,765,True,True,0.98,3.8
I000051,R0004,Chicken Burger,Burger,Fast Food,380,False,True,0.32,4.8
I000052,R0004,Zinger Burger,Burger,Fast Food,675,False,True,0.74,4.9
I000053,R0004,Double Patty Burger,Burger,Fast Food,590,False,True,0.39,3.8
I000054,R0004,Regular Fries,Fries,Fast Food,365,False,True,0.52,4.1
I000055,R0004,Cheese Fries,Fries,Fast Food,700,False,True,0.43,4.6
I000056,R0004,Peri Peri Fries,Fries,Fast Food,545,False,True,1.0,4.7
I000057,R0004,Chicken Wrap,Wrap,Fast Food,785,False,True,0.54,3.7
I000058,R0004,Paneer Wrap,Wrap,Fast Food,555,True,True,0.39,4.2
I000059,R0004,Veg Wrap,Wrap,Fast Food,435,True,True,0.64,4.9
I000060,R0004,Chicken Nuggets (6 pcs),Nuggets,Fast Food,445,False,True,1.0,3.8
I000061,R0004,Chicken Nuggets (12 pcs),Nuggets,Fast Food,405,False,True,0.68,4.8
I000062,R0004,Chocolate Milkshake,Milkshake,Fast Food,675,False,True,0.81,3.9
I000063,R0004,Strawberry Milkshake,Milkshake,Fast Food,310,False,True,0.41,4.0
I000064,R0004,Vanilla Milkshake,Milkshake,Fast Food,785,False,True,0.94,3.8
I000065,R0004,Coke (300ml),Soft Drink,Fast Food,665,False,True,0.71,3.6
I000066,R0004,Pepsi (300ml),Soft Drink,Fast Food,485,False,True,0.64,4.5
I000067,R0004,Sprite (300ml),Soft Drink,Fast Food,445,False,True,0.95,4.2
I000068,R0004,Limca,Soft Drink,Fast Food,425,False,True,0.52,4.6
I000069,R0005,Masala Dosa,Dosa,South Indian,115,False,True,0.82,3.9
I000070,R0005,Plain Dosa,Dosa,South Indian,85,False,True,0.58,3.8
I000071,R0005,Onion Dosa,Dosa,South Indian,120,False,True,0.53,4.0
I000072,R0005,Rava Dosa,Dosa,South Indian,75,False,True,0.62,4.7
I000073,R0005,Ghee Roast Dosa,Dosa,South Indian,135,False,True,0.86,4.4
I000074,R0005,Idli (2 pcs),Idli,South Indian,80,False,True,0.81,3.6
I000075,R0005,Idli (4 pcs),Idli,South Indian,130,False,True,0.85,4.5
I000076,R0005,Mini Idli,Idli,South Indian,60,False,True,1.0,4.6
I000077,R0005,Sambar Bowl,Sambar,South Indian,125,False,True,0.34,4.1
I000078,R0005,Drumstick Sambar,Sambar,South Indian,60,False,True,0.55,4.4
I000079,R0005,Coconut Chutney,Chutney,South Indian,140,False,True,0.5,4.4
I000080,R0005,Tomato Chutney,Chutney,South Indian,65,False,True,0.55,4.9
I000081,R0005,Mint Chutney,Chutney,South Indian,125,False,True,0.68,3.9
I000082,R0005,Steamed Rice,Rice,South Indian,90,False,True,0.41,4.0
I000083,R0005,Jeera Rice,Rice,South Indian,65,False,True,0.86,3.6
I000084,R0005,Veg Pulao,Rice,South Indian,70,True,True,0.78,4.9
I000085,R0005,Egg Fried Rice,Rice,South Indian,145,False,True,0.89,3.8
I000086,R0005,Tomato Rasam,Rasam,South Indian,80,False,True,0.91,4.8
